Sector,ID,Title,Name,Detailed Description,URL,Average Annual Charge
World,EMLP.L,PIMCO Fixed Income Source ETFs,EM Advantage Local Bond Index Source UCITC ETF,,,
Asia Pacific,IGAA.L,iShares III plc,Emerging Asia Local Govt Bond UCITS ETF USD - Acc,,,
Emerging Markets,3EML.L,WisdomTree,Emerging Markets 3x Daily Leveraged (USD),,,
Emerging Markets,3EMS.L,WisdomTree,Emerging Markets 3x Daily Short (USD),,,
Emerging Markets,FEM.L,First Trust Global Funds plc,Emerging Markets AlphaDEX UCITS,,,
Emerging Markets,DEM.L,WisdomTree Issuer plc,Emerging Markets Equity Income UCITS ETF,,,
Emerging Markets,LMMV.L,Ossiam ETF,Emerging Markets Minimum Variance,,,
Emerging Markets,FEMQ.L,Fidelity UCITS ICAV,Emerging Markets Quality Income GBP,,,
Emerging Markets,FEMD.L,Fidelity,Emerging Markets Quality Income UCITS ETF (GBP),,,
Emerging Markets,DGSE.L,WisdomTree Issuer plc,Emerging Markets SmallCap Dividend UCITS ETF,,,
North America,EQQQ.L,Invesco Markets III PLC,EQQQ NASDAQ 100 UCITS ETF,,,
North America,EQGB.L,Invesco Markets III Plc,EQQQ NASDAQ-100 UCITS GBP HDG,,,
North America,EQQU.L,Invesco Markets III Plc,EQQQ NASDAQ-100 UCITS USD,,,
World,V3AM.L,Vanguard Funds Plc,ESG Global All Cap UCITS ETF - Dist,,,
North America,MACG.L,BlackRock,ESG Multi-Asset Conservative Portfolio UCITS ETF G,,,
North America,MAGG.L,BlackRock,ESG Multi-Asset Growth Portfolio UCITS ETF GBP Hed,,,
North America,MAMG.L,BlackRock,ESG Multi-Asset Moderate Portfolio UCITS ETF GBP H,,,
Europe,SX5S.L,Invesco Markets plc,EURO STOXX 50,,,
Europe,MSED.L,Lyxor International Asset Management,EURO STOXX 50,,,
Europe,MSEX.L,Multi Units France,Euro Stoxx 50 (DR) Daily Hedged C-GBP,,,
Europe,3EUL.L,WisdomTree,EURO STOXX 50 3x Daily Leveraged,,,
Europe,3EUS.L,WisdomTree,EURO STOXX 50 3x Daily Short,,,
Europe,XSSX.L,Xtrackers,Euro Stoxx 50 Short Daily UCITS ETF,,,
Europe,H50E.L,HSBC ETFs Plc,Euro Stoxx 50 UCITS,,,
Europe,7224041.L,UBS (LUX) Fund Solutions,Euro STOXX 50 UCITS A-dis,,,
Europe,XESC.L,Xtrackers,Euro STOXX 50 UCITS ETC (DR)1C,,,
Europe,XESX.L,Xtrackers,Euro STOXX 50 UCITS ETF (DR) 1D,,,
Europe,LOWE.L,SSGA SPDR ETFs Europe II plc,Euro Stoxx Low Volatility,,,
Europe,DJMC.L,iShares plc,EURO STOXX Mid,,,
Europe,XD3E.L,Xtrackers,Euro Stoxx Quality Dividend UCITS E,,,
Europe,IDVY.L,iShares plc,EURO STOXX Select Dividend 30,,,
Europe,DJSC.L,iShares plc,EURO STOXX Small,,,
Europe,IDJG.L,iShares plc,EURO STOXX Total Market Growth Large,,,
Europe,EEIP.L,Wisdomtree Issuer plc,Europe Equity Income UCITS ETF GBP,,,
Europe,LGEG.L,Legal & General,Europe Ex UK EQTY UCITS ETF EUR (GBP),,,
Europe,HEDJ.L,WisdomTree Issuer plc,Europe Hedged Equity UCITS ETF,,,
Europe,FEUI.L,Fidelity,Europe Qlty Inc UCITS ETF INC (GBP),,,
Europe,FEQD.L,Fidelity UCITS ICAV,Europe Quality Income UCITS ETF,,,
Europe,FEQP.L,Fidelity UCITS ICAV,Europe Quality Income UCITS ETF ACC-GBP (hedged),,,
Europe,DFEP.L,Wisdomtree Issue Plc,EUROPE SMALLCAP DIV UCITS GBP ACC,,,
Europe,DFE.L,WisdomTree Issuer plc,Europe SmallCap Dividend UCITS ETF,,,
Europe,EEI.L,WisdomTree Issuer plc,European Equity Income UCITS ETF,,,
Europe,FEUZ.L,First Trust Global Funds plc,Eurozone Alphadex UCITS EUR(GBP),,,
Europe,BYTLKS9.L,UBS ETF Sicav,Factor MSCI EMU Prime Value UCITS ETF (EUR),,,
North America,UPVL.L,UBS (Irl) Fund Solutions plc,Factor MSCI USA Prime Value UCITS ETF (GBP) A-dis,,,
North America,UQLT.L,UBS (Irl) Fund Solutions plc,Factor MSCI USA Quality UCITS ETF (GBP) A-dis,,,
North America,XLFQ.L,Invesco Markets Plc,Financials S&P US Select Sector UCITS ETF,,,
World,FGBL.L,First Trust Global Funds plc,First Trust Global Equity Income UCITS ETF,,,
FTSE 100,BD46GT5.L,Amundi Investment Solutions,FTSE 100 (EUR),,,
UK,SUK1.L,WisdomTree,FTSE 100 1x Daily Short,,,
UK,2UKL.L,WisdomTree,FTSE 100 2x Daily Leveraged,,,
FTSE 100,2UKS.L,WisdomTree,FTSE 100 2x Daily Short,,,
UK,3UKL.L,WisdomTree,FTSE 100 3x Daily Leveraged,,,
UK,3UKS.L,WisdomTree,FTSE 100 3x Daily Short,,,
UK,UKMV.L,Ossiam ETF,FTSE 100 Min Variance 1C A NR GBP,,,
FTSE 100,XUKS.L,Xtrackers,FTSE 100 Short Daily UCITS ETF,,,
FTSE 100,SUK2.L,Legal & General UCITS ETF,FTSE 100 Super Short Strategy (2X) Fund,,,
FTSE 100,L100.L,Multi Units Luxembourg Lyxor,FTSE 100 UCITS C GBP ETF,,,
FTSE 100,HUKX.L,HSBC ETFs Plc,FTSE 100 UCITS ETF,,,
FTSE 100,S100.L,Invesco Markets Plc,FTSE 100 UCITS ETF,,,
FTSE 100,XDUK.L,Xtrackers,FTSE 100 UCITS ETF (DR),,,
FTSE 100,XUKX.L,Xtrackers,FTSE 100 UCITS ETF (DR) - Income,,,
FTSE 100,100D.L,Lyxor Asset Management,FTSE 100 UCITS ETF (GBP) Dist,,,
FTSE 100,UB03.L,UBS ETF SICAV,FTSE 100 UCITS ETF A Inc,,,
FTSE 100,VUKE.L,Vanguard Funds plc,FTSE 100 UCITS ETF GBP,,,
UK,VUKG.L,Vanguard Funds Plc,FTSE 100 UCITS ETF GBP ACC,,,
FTSE 250,HMCX.L,HSBC ETFs Plc,FTSE 250,,,
FTSE 250,MIDD.L,iShares plc,FTSE 250,,,
UK,1MCS.L,WisdomTree,FTSE 250 1x Daily Short,,,
UK,2MCL.L,WisdomTree,FTSE 250 2x Daily Leveraged,,,
FTSE 250,S250.L,Invesco Markets plc,FTSE 250 UCITS ETF,,,
FTSE 250,VMID.L,Vanguard Funds plc,FTSE 250 UCITS ETF,,,
FTSE 250,XMCX.L,Xtrackers,FTSE 250 UCITS ETF (DR),,,
UK,VMIG.L,Vanguard Funds Plc,FTSE 250 UCITS ETF Acc,,,
World,VHYL.L,Vanguard Funds plc,FTSE All World High Dividend Yield,,,
UK,VHYG.L,Vanguard Funds Plc,FTSE All World High Dividend Yield UCITS ETF,,,
World,XDEX.L,db x-trackers,FTSE All-World EX UK UCITS ETF (DR),,,
World,VWRP.L,Vanguard Funds plc,FTSE All-World UCITS ETF (USD) Accumulating,,,
World,VWRD.L,Vanguard Funds plc,FTSE All-World UCITS ETF (USD) Distributing,,,
World,VWRL.L,Vanguard Funds plc,FTSE All-World UCITS ETF (USD) Distributing - GBP,,,
Emerging Markets,DBRC.L,iShares II plc,FTSE BRIC 50,,,
Asia Pacific,VAPX.L,Vanguard Funds plc,FTSE Developed Asia Pacific ex-Japan,,,
Europe,VEUR.L,Vanguard Funds plc,FTSE Developed Europe,,,
Europe,VERG.L,Vanguard Funds plc,FTSE Developed Europe Ex UK UCITS ETF (GBP),,,
Europe,VERX.L,Vanguard Funds plc,FTSE Developed Europe ex-UK UCITS ETF,,,
World,VEVE.L,Vanguard Funds plc,FTSE Developed World UCITS,,,
Developed Markets,VHVG.L,Vanguard Funds plc,FTSE Developed World UCITS ETF,,,
Emerging Markets,HDEM.L,Invesco,FTSE Emerging Markets High Div Low Vol UCITS ETF,,,
Emerging Markets,VFEG.L,Vanguard Funds plc,FTSE Emerging Markets UCITS ETF (GBP),,,
Emerging Markets,VFEM.L,Vanguard Funds plc,FTSE Emerging Markets UCITS ETF USD(GBP),,,
Europe,XDER.L,Xtrackers,FTSE EPRA/NAREIT Developed Europe Real Estate (DR),,,
Developed Markets,IDWP.L,iShares II plc,FTSE EPRA/NAREIT Developed Markets Prop Yield Fund,,,
Asia Pacific,FRIN.L,Franklin Libertyshares ICAV,FTSE India UCITS ETF ACC (GBP),,,
Europe,BMN9L59.L,Lyxor International Asset Management,FTSE Italian Mid Cap,,,
Japan,VJPN.L,Vanguard Funds plc,FTSE Japan Equity,,,
Japan,VDJP.L,Vanguard Funds Plc,FTSE Japan UCITS ETF - Dist,,,
Asia Pacific,FLRK.L,Franklin Libertyshares ICAV,FTSE Korea UCITS ETF,,,
Europe,BD3CTQ2.L,WisdomTree,FTSE MIB 3x Daily Leveraged,,,
Europe,BD3CTP1.L,WisdomTree,FTSE MIB 3x Daily Short,,,
Europe,CMB1.L,iShares VII plc,FTSE MIB UCITS ETF,,,
Europe,MIBX.L,Lyxor,FTSE MIB UCITS ETF - Dist,,,
Europe,IMIB.L,iShares II plc,FTSE MIB UCITS ETF (Dist),,,
North America,VNRT.L,Vanguard Funds plc,FTSE North America UCITS ETF,,,
World,PSRW.L,Invesco Markets III Plc,FTSE Rafi All-World 3000 Fund,,,
Emerging Markets,PSRM.L,Invesco Markets III Plc,FTSE Rafi Emerging Markets Fund,,,
Europe,PSRE.L,Invesco Markets III Plc,FTSE Rafi Europe Fd - Euro shs,,,
UK,PSRU.L,Invesco Markets III,FTSE Rafi UK 100 Fd - Sterling Shs,,,
North America,PSRF.L,Invesco Markets III,FTSE Rafi US 1000 UCITS ETF - USD,,,
UK,FTAL.L,SSGA SPDR ETFs Europe I plc,FTSE UK All Share,,,
UK,FTAD.L,SSGA SPDR ETFS Europe I Plc,FTSE Uk All Share UCITS ETF,,,
UK,IUKD.L,iShares plc,FTSE UK Dividend,,,
Asia Pacific,XFVT.L,Xtrackers,FTSE Vietnam UCITS ETF,,,
Asia Pacific,XVTD.L,Xtrackers,FTSE Vietnam UCITS ETF,,,
World,BUYB.L,Invesco Markets III Plc,Global Buyback Achievers UCITS ETF,,,
Emerging Markets,JMRE.L,JPMorgan Funds ETFs (Ireland),Global Emg Markets Research Ehd Idx Eq UCITS ETF,,,
World,TGGB.L,VanEckVectors,Global Equal Weight UCITS ETF (GBP),,,
World,GINC.L,First Trust Global Funds PLC,Global Equity Inc UCITS B USD DIS,,,
World,LGGG.L,Legal & General,Global Equity UCITS ETF USD(GBP) ACC,,,
World,ELLE.L,Lyxor Asset Management Luxembourg S.A.,Global Gender Eqlty (DR) UCITS ETF,,,
World,GENE.L,UBS (Irl) Fund Solutions plc,Global Gender Equality UCITS ETF A USD,,,
World,PBUY.L,HANetf ICAV,Global Online Retail UCITS ETF,,,
World,GGRP.L,WisdomTree Issuer plc,Global Quality Div Growth UCITS ETF USD (GBP),,,
World,FGQP.L,Fidelity UCITS ICAV,Global Quality Income UCITS ETF ACC-GBP (hedged),,,
World,FGQD.L,Fidelity UCITS ICAV,Global Quality Income UCITS GBP INC,,,
World,JGRE.L,JPMorgan Funds ETFs (Ireland) ICAV,Global Research Enhanced Index Equity UCITS ETF,,,
Emerging Markets,EFEP.L,Invesco Markets Plc,Goldman Sachs Equity Factor Ind Em Mkts UCITS GBP,,,
Emerging Markets,EFIM.L,Invesco Markets Plc,Goldman Sachs Equity Factor Ind Em Mkts UCITS(USD),,,
World,EFIS.L,Invesco Markets plc,Goldman Sachs Equity Factor Ind World UCITS (GBP),,,
World,EFIW.L,Invesco Markets plc,Goldman Sachs Equity Factor Ind World UCITS (USD),,,
Europe,EFIE.L,Invesco Markets plc,Goldman Sachs Equity Factor Index Europe UCITS,,,
Asia Pacific,RQFI.L,Xtrackers,Harvest CSI300 Index UCITS ETF (DR),,,
Asia Pacific,AH50.L,Xtrackers,Harvest FTSE China A-H 50 Index UCITS ETF (DR),,,
Asia Pacific,HMCA.L,HSBC Securities Services (Ireland) Limited,HSBC MSCI China A Inclusion UCITS ETF,,,
World,CLMP.L,HANetf ICAV,iClima Global Decarbonisation Enablers UCITS ETF,,,
Japan,NXTG.L,First Trust Global Funds PLC,INDXX NEXTG UCITS ETF JPY(GBP),,,
Africa and Middle East,MSAU.L,Invesco Markets,Invesco MSCI Saudi Arabia UCITS ETF,,,
Africa and Middle East,MSAP.L,Invesco Markets Plc,Invesco MSCI Saudi Arabia UCITS ETF,,,
Russia,RDXS.L,Invesco Markets plc,Invesco RDX UCITS ETF A SHS USD,,,
Europe,CS51.L,iShares VII plc,iShares Core EURO STOXX 50 B EUR Acc (GBP),,,
Emerging Markets,EMVL.L,iShares IV plc,iShares Edge MSCI EM Value Factor UCITS ETF USD,,,
World,IWVL.L,Ishares IV plc Edge MSCI World Value Factor ETF,Ishares IV plc Edge MSCI World Value Factor ETF,,,
Asia Pacific,NDIA.L,iShares IV plc,iShares MSCI India UCITS ETF - USD (Acc),,,
North America,BTEK.L,BlackRock Asset Management Ireland Limited,iShares Nasdaq US Biotechnology UCITS ETF,,,
Europe,EUMV.L,Ossiam,ISTOXX Europe Minimum Variance NR UCITS ETF 1C EUR,,,
Japan,DXJP.L,WisdomTree Issuer plc,Japan Equity UCITS ETF,,,
Japan,LGJP.L,Legal & General,Japan Equity Ucits ETF USD ACC,,,
Japan,DXJ.L,WisdomTree Issuer plc,Japan Equity UCITS ETF USD Hedged,,,
Japan,LGJG.L,Legal & General,Japan Equity UCITS ETF USD(GBP) ACC,,,
